ID,Name,Ticker,Status,Addition Date,Buy Price,Quantity,LTP,Sell SL,Sell Price,Sell Date,Profit/Loss
0,Infosys Limited,INFY,WATCHLIST,15 August 2023,1410.0,10,,1490.0,,,
1,Reliance Industries Limited,RELIANCE,WATCHLIST,15 August 2023,2580.0,3,,2700.0,,,
