SUNTV,NIFTY_MEDIA
ZEEL,NIFTY_MEDIA
NAZARA,NIFTY_MEDIA
PVR,NIFTY_MEDIA
INOXLEISUR,NIFTY_MEDIA
SIEMENS,NIFTY_NEXT_50
DLF,NIFTY_NEXT_50
BAJAJHLDNG,NIFTY_NEXT_50
PNB,NIFTY_NEXT_50
YESBANK,NIFTY_NEXT_50
BERGEPAINT,NIFTY_NEXT_50
PIDILITIND,NIFTY_NEXT_50
BANKBARODA,NIFTY_NEXT_50
GODREJCP,NIFTY_NEXT_50
CADILAHC,NIFTY_NEXT_50
ADANIENT,NIFTY_NEXT_50
JINDALSTEL,NIFTY_NEXT_50
GAIL,NIFTY_NEXT_50
NMDC,NIFTY_NEXT_50
GLAND,NIFTY_NEXT_50
HINDPETRO,NIFTY_NEXT_50
BOSCHLTD,NIFTY_NEXT_50
VEDL,NIFTY_NEXT_50
PEL,NIFTY_NEXT_50
SAIL,NIFTY_NEXT_50
IGL,NIFTY_NEXT_50
LTI,NIFTY_NEXT_50
CHOLAFIN,NIFTY_NEXT_50
HAVELLS,NIFTY_NEXT_50
APOLLOHOSP,NIFTY_NEXT_50
AMBUJACEM,NIFTY_NEXT_50
ICICIGI,NIFTY_NEXT_50
COLPAL,NIFTY_NEXT_50
DABUR,NIFTY_NEXT_50
AUROPHARMA,NIFTY_NEXT_50
ADANIGREEN,NIFTY_NEXT_50
ACC,NIFTY_NEXT_50
ICICIPRULI,NIFTY_NEXT_50
DMART,NIFTY_NEXT_50
BIOCON,NIFTY_NEXT_50
LUPIN,NIFTY_NEXT_50
MCDOWELL-N,NIFTY_NEXT_50
ADANITRANS,NIFTY_NEXT_50
PIIND,NIFTY_NEXT_50
BANDHANBNK,NIFTY_NEXT_50
MARICO,NIFTY_NEXT_50
INDUSTOWER,NIFTY_NEXT_50
PGHH,NIFTY_NEXT_50
HDFCAMC,NIFTY_NEXT_50
JUBLFOOD,NIFTY_NEXT_50
MUTHOOTFIN,NIFTY_NEXT_50
TORNTPHARM,NIFTY_NEXT_50
INDIGO,NIFTY_NEXT_50
NAUKRI,NIFTY_NEXT_50
SBICARD,NIFTY_NEXT_50
NETWORK18,NIFTY_MIDCAP_400
CREDITACC,NIFTY_MIDCAP_400
IDBI,NIFTY_MIDCAP_400
TV18BRDCST,NIFTY_MIDCAP_400
IEX,NIFTY_MIDCAP_400
AARTIDRUGS,NIFTY_MIDCAP_400
BAJAJELEC,NIFTY_MIDCAP_400
BAJAJCON,NIFTY_MIDCAP_400
MINDACORP,NIFTY_MIDCAP_400
IBREALEST,NIFTY_MIDCAP_400
SEQUENT,NIFTY_MIDCAP_400
INDIANB,NIFTY_MIDCAP_400
HINDCOPPER,NIFTY_MIDCAP_400
IOB,NIFTY_MIDCAP_400
GODREJIND,NIFTY_MIDCAP_400
CCL,NIFTY_MIDCAP_400
THERMAX,NIFTY_MIDCAP_400
CGPOWER,NIFTY_MIDCAP_400
TTML,NIFTY_MIDCAP_400
POLYCAB,NIFTY_MIDCAP_400
IDFCFIRSTB,NIFTY_MIDCAP_400
NBCC,NIFTY_MIDCAP_400
BANKINDIA,NIFTY_MIDCAP_400
APLAPOLLO,NIFTY_MIDCAP_400
PHILIPCARB,NIFTY_MIDCAP_400
MINDAIND,NIFTY_MIDCAP_400
IBULHSGFIN,NIFTY_MIDCAP_400
PRAJIND,NIFTY_MIDCAP_400
SUZLON,NIFTY_MIDCAP_400
MAHABANK,NIFTY_MIDCAP_400
SPARC,NIFTY_MIDCAP_400
INFIBEAM,NIFTY_MIDCAP_400
ATGL,NIFTY_MIDCAP_400
OBEROIRLTY,NIFTY_MIDCAP_400
TTKPRESTIG,NIFTY_MIDCAP_400
CENTRALBK,NIFTY_MIDCAP_400
UNIONBANK,NIFTY_MIDCAP_400
GLENMARK,NIFTY_MIDCAP_400
CANBK,NIFTY_MIDCAP_400
DIXON,NIFTY_MIDCAP_400
AEGISCHEM,NIFTY_MIDCAP_400
DELTACORP,NIFTY_MIDCAP_400
ALOKINDS,NIFTY_MIDCAP_400
FRETAIL,NIFTY_MIDCAP_400
IDFC,NIFTY_MIDCAP_400
CUMMINSIND,NIFTY_MIDCAP_400
ASTRAL,NIFTY_MIDCAP_400
WELCORP,NIFTY_MIDCAP_400
GRANULES,NIFTY_MIDCAP_400
HATHWAY,NIFTY_MIDCAP_400
CUB,NIFTY_MIDCAP_400
LEMONTREE,NIFTY_MIDCAP_400
GRINDWELL,NIFTY_MIDCAP_400
POLYPLEX,NIFTY_MIDCAP_400
ASAHIINDIA,NIFTY_MIDCAP_400
NILKAMAL,NIFTY_MIDCAP_400
TIMKEN,NIFTY_MIDCAP_400
UCOBANK,NIFTY_MIDCAP_400
EIHOTEL,NIFTY_MIDCAP_400
INTELLECT,NIFTY_MIDCAP_400
JUBLPHARMA,NIFTY_MIDCAP_400
HEG,NIFTY_MIDCAP_400
GODREJPROP,NIFTY_MIDCAP_400
SPANDANA,NIFTY_MIDCAP_400
BSE,NIFTY_MIDCAP_400
BATAINDIA,NIFTY_MIDCAP_400
RATNAMANI,NIFTY_MIDCAP_400
AAVAS,NIFTY_MIDCAP_400
GSPL,NIFTY_MIDCAP_400
SUPREMEIND,NIFTY_MIDCAP_400
RALLIS,NIFTY_MIDCAP_400
CENTURYTEX,NIFTY_MIDCAP_400
TEAMLEASE,NIFTY_MIDCAP_400
VAKRANGEE,NIFTY_MIDCAP_400
OFSS,NIFTY_MIDCAP_400
ZYDUSWELL,NIFTY_MIDCAP_400
VARROC,NIFTY_MIDCAP_400
GAEL,NIFTY_MIDCAP_400
UJJIVANSFB,NIFTY_MIDCAP_400
LAURUSLABS,NIFTY_MIDCAP_400
FEDERALBNK,NIFTY_MIDCAP_400
AFFLE,NIFTY_MIDCAP_400
KALYANKJIL,NIFTY_MIDCAP_400
JSWENERGY,NIFTY_MIDCAP_400
SONACOMS,NIFTY_MIDCAP_400
TATACOMM,NIFTY_MIDCAP_400
GESHIP,NIFTY_MIDCAP_400
VAIBHAVGBL,NIFTY_MIDCAP_400
CRISIL,NIFTY_MIDCAP_400
MFSL,NIFTY_MIDCAP_400
SHILPAMED,NIFTY_MIDCAP_400
THYROCARE,NIFTY_MIDCAP_400
EQUITAS,NIFTY_MIDCAP_400
ASTRAZEN,NIFTY_MIDCAP_400
IRB,NIFTY_MIDCAP_400
UBL,NIFTY_MIDCAP_400
ASTERDM,NIFTY_MIDCAP_400
CONCOR,NIFTY_MIDCAP_400
SUPRAJIT,NIFTY_MIDCAP_400
FLUOROCHEM,NIFTY_MIDCAP_400
NFL,NIFTY_MIDCAP_400
PHOENIXLTD,NIFTY_MIDCAP_400
